trial,label_x,label_y,delta_x,delta_y,delta_z,pick_x,pick_y,pick_z,pick_roll,pick_pitch,pick_yaw,place_x,place_y,place_z,place_roll,place_pitch,place_yaw,pick_time,place_time
motion_20260506_195749,-5.0,5.0,35.68612984866866,29.86554239600704,10.108514556254825,299.53598244928685,0.9671943461746126,47.431932898553804,1.591181954533389,-0.1025549228789373,1.5298385211883416,335.2221122979555,30.832736742181652,57.54044745480863,1.524916905986295,-0.09019251091745506,1.5763305298365768,9.374752061,19.127751781
motion_20260506_195818,-5.0,5.0,35.690979438559,29.57700931103015,11.021735119741827,299.5280284507546,1.713742859142041,47.57176774121995,1.589817319669538,-0.10276965630876878,1.531367819037103,335.2190078893136,31.29075217017219,58.59350286096178,1.5169769207426296,-0.08474143886046481,1.5801402422140989,9.380388256,19.128386138
motion_20260506_195847,-5.0,5.0,36.566090817976885,31.79678281122766,11.066398678039008,299.4360612093428,1.110598719876978,47.099095535893326,1.5915223692784681,-0.10311421736096582,1.5281488607271787,336.0021520273197,32.90738153110464,58.165494213932334,1.5192307162835323,-0.09051318489481153,1.5796217949892202,9.374737571,19.127737519
motion_20260506_195915,-5.0,5.0,35.801019303586145,29.92665152508455,11.671423640779196,299.43341334129195,1.128191951125781,46.9421004940805,1.5930550869441131,-0.10311447020739206,1.5281606861842543,335.2344326448781,31.054843476210333,58.613524134859695,1.5171614745985964,-0.08463703689320345,1.5781900645392783,9.375279718,19.126274135
motion_20260506_195943,-5.0,5.0,37.26291551227206,31.889379419103804,11.379757599397117,298.6776794930784,1.3123684704156924,46.69474986770968,1.5944187078332601,-0.10278584530225698,1.5296835517075782,335.9405950053505,33.201747889519496,58.0745074671068,1.5197250990756015,-0.09030447217115567,1.5785812431717192,9.376784006,19.126783927
motion_20260506_200048,-5.0,0.0,17.038752710752647,35.013691194942375,-3.8927155046627817,288.82280582037254,1.928491905494162,39.271361131839306,1.6501078140236909,-0.0775767871518489,1.5541660263174468,305.8615585311252,36.94218310043654,35.378645627176525,1.6971391911659555,-0.11388692470207795,1.5289603403355905,9.397596077,19.07559616
motion_20260506_200117,-5.0,0.0,16.68315043202216,33.83396228592065,-2.683548914798344,288.68385001469676,1.9872145847836868,38.3620836707163,1.656221773606313,-0.07622245632974001,1.5542633145283038,305.3670004467189,35.821176870704335,35.67853475591796,1.694947187588201,-0.10930219238116723,1.5284633376199999,9.397203548,19.084203454
motion_20260506_200145,-5.0,0.0,17.388068261675585,34.10684838477081,-2.6437896442567492,288.2723514462175,1.871936146999523,37.99697372687439,1.6594210228128472,-0.07483910650868486,1.5529287794482198,305.6604197078931,35.97878453177033,35.35318408261764,1.6962044597863448,-0.10887709636095644,1.52966367560954,9.399618711,19.082613431
motion_20260506_200216,-5.0,0.0,17.401753855836887,33.48434641851185,-2.518879270242387,288.26914076642265,2.314138081094509,37.99697372687439,1.6594210228128472,-0.07483910650868464,1.55446276044822,305.67089462225954,35.79848449960636,35.478094456632,1.6949986204126788,-0.1105978749404628,1.5278228106244833,9.399249142,19.079246649
motion_20260506_200244,-5.0,0.0,16.920066197520157,34.100035172935414,-2.933831013804152,288.2752904605387,2.0265213451936646,38.011886916075284,1.6592845325283097,-0.07622074280969615,1.554323756119406,305.19535665805887,36.12655651812908,35.07805590227113,1.6982990036416898,-0.11054413277954289,1.5280378474747744,9.396764724,19.080764293
motion_20260506_200336,-5.0,-5.0,-43.09314294472955,38.062094735321544,-11.12496453622995,285.8445525352446,13.29376296502815,41.788664652887846,1.6292946090432077,-0.08999713534506615,1.6163817036977206,242.75140959051504,51.355857700349695,30.663700116657896,1.7899297748033915,-0.11056564735819752,1.6591437754586678,9.390664792,19.072663378
motion_20260506_200405,-5.0,-5.0,-42.813322484886044,36.67686350344218,-11.291005420506135,285.46497572493803,14.232017722660235,41.40329458082949,1.6354449683299956,-0.09135077740519404,1.6195386847621351,242.65165324005198,50.908881226102416,30.112289160323353,1.79367243675298,-0.11147566358883298,1.6541068310796359,9.391199806,19.068200666
motion_20260506_200433,-5.0,-5.0,-43.26961336967048,38.17927162475526,-11.026117915118508,285.50989881575094,13.06052583985133,41.21642638941397,1.6372632040543955,-0.09010618426104311,1.6135126656975274,242.24028544608046,51.23979746460659,30.19030847429546,1.7951649458613423,-0.11116827078174096,1.6559916049462147,9.39268452,19.075688753
motion_20260506_200501,-5.0,-5.0,-43.22049291300851,37.19889101189014,-11.576831793920547,285.8863738779737,13.625721728935954,41.57980088854616,1.6340598008770202,-0.09144635913795418,1.6164594977062416,242.6658809649652,50.82461274082609,30.002969094625612,1.7969574192919062,-0.11133258990820227,1.652994344645528,9.392256213,19.071260843
motion_20260506_200530,-5.0,-5.0,-43.25178949211954,37.79033998696576,-11.551047948748966,285.90693910880026,13.187161603913626,41.57980088854616,1.6340687696714506,-0.09297727102704845,1.614828115796075,242.65514961668072,50.97750159087939,30.028752939797194,1.7967007172833702,-0.11140108649015823,1.6545339408266495,9.391905641,19.071905746
motion_20260506_200632,0.0,5.0,43.14381272076787,-4.718711702239506,14.089734144393134,297.50588095412957,-10.808321414024409,41.62009860047167,1.639446982693432,-0.06386223563350679,1.5037128982387635,340.64969367489743,-15.527033116263915,55.709832744864805,1.5687602072238085,-0.0014629607582441473,1.5361341237098287,9.369403879,19.077401852
motion_20260506_200700,0.0,5.0,42.62968833861714,-5.602656659030874,12.627264346353833,296.71622685757416,-10.884484228785201,41.189407403048016,1.6426530326906896,-0.0640085013754279,1.5022803398038007,339.3459151961913,-16.487140887816075,53.81667174940185,1.576602199209474,-0.0029327110693091463,1.532293541894656,9.368007524,19.074004896
motion_20260506_200729,0.0,5.0,41.18322001640814,-5.873931217422388,12.313343390205866,297.50776692788776,-10.536341635297603,41.48482518119688,1.6410315774302335,-0.06506094091795611,1.5034132227332007,338.6909869442959,-16.41027285271999,53.79816857140275,1.5781365996748695,-0.0043865346196851895,1.5324974013723338,9.368531464,19.076539539
motion_20260506_200757,0.0,5.0,43.12626934463066,-4.776572021135614,13.607072217603708,296.6888113034901,-11.323710438044063,41.032553765192404,1.6441830583407973,-0.06401208620468757,1.5007957361635207,339.8150806481208,-16.100282459179677,54.63962598279611,1.5734353196954574,-0.003718936131184458,1.5333481257118244,9.371114943,19.078114224
motion_20260506_200826,0.0,5.0,43.12472221042623,-4.70806266367709,13.729695451473752,296.6888113034901,-11.323710438044063,41.032553765192404,1.6441830583407973,-0.06401208620468757,1.5007957361635207,339.81353351391635,-16.031773101721154,54.762249216666156,1.5720174163953404,-0.00271604823553262,1.5336346530560776,9.370648584,19.078646451
motion_20260506_200933,0.0,0.0,12.660305686901097,-4.9089434033214765,7.429635248100638,282.80326413474455,-4.306459001386013,33.840107229796516,1.6906879417800433,-0.05123211202017841,1.5478116618786615,295.46356982164565,-9.21540240470749,41.269742477897154,1.6363131187314084,0.004989011947551969,1.5837064118119109,9.401282913,19.063279819
motion_20260506_201002,0.0,0.0,11.982905457135416,-4.017917910441905,7.547731004997161,282.35586185719774,-4.212263923478589,33.30794972787101,1.6953886237550548,-0.04875934506731361,1.5485234429447605,294.33876731433315,-8.230181833920494,40.85568073286817,1.6391737515390248,0.005134949437092473,1.586777789536685,9.40680648,19.052812777
motion_20260506_201029,0.0,0.0,12.223474702149701,-5.2968299765903755,6.748523198110995,282.7692001112865,-4.692187225606343,33.64806039188735,1.6923374477708508,-0.05024526109197858,1.5466939950185292,294.9926748134362,-9.989017202196719,40.39658358999834,1.644136790962185,0.004269969160855647,1.5814495808555307,9.403424162,19.055415956
