trial,label_x,label_y,delta_x,delta_y,delta_z,pick_time,place_time
motion_20260503_205149,-5.0,5.0,41.36284408386018,23.852498069839044,10.659791101237417,9.120316518,19.556324416
motion_20260503_210557,-5.0,5.0,41.23117048283848,22.463350049099365,11.38897616200748,9.12360453,19.556606515
motion_20260503_210730,0.0,5.0,29.550009283518477,-15.234182257660919,5.363274256292662,9.126343935,19.518343064
motion_20260503_210833,5.0,5.0,31.033977110180103,-54.24331385911226,8.837795769739564,9.128917557,19.513926085
motion_20260503_210940,-5.0,0.0,-1.2793812258771027,32.73354126577941,-2.929779166260971,9.090800591,19.530799222
motion_20260503_211038,0.0,0.0,-8.080842356928144,6.11223214826409,0.5241736236638204,9.105114561,19.512116267
motion_20260503_211139,5.0,0.0,-11.861755732681615,-38.89991846077781,-5.856566708074716,9.097629349,19.51362046
motion_20260503_211310,-5.0,-5.0,-52.91724896742198,55.075207316257405,-17.262532681987096,9.073111368,19.544116432
motion_20260503_211420,0.0,-5.0,-50.613903015610845,9.189218344133934,-15.203653806124706,9.0716108,19.526612216
motion_20260503_211523,5.0,-5.0,-64.16807421399534,-55.58667310486868,-18.5619021173203,9.093483971,19.53948353
motion_20260503_212035,-3.0,3.0,13.97537327781015,13.625596308851803,-1.3438472588850559,9.083414113,19.544416694
motion_20260503_212134,0.0,3.0,8.10988735068139,-7.120912681176602,-3.343658373025754,9.108534263,19.518537309
motion_20260503_212233,3.0,3.0,15.86743025557638,-27.92827929314971,5.388557037312715,9.14280275,19.513802784
motion_20260503_212330,-3.0,0.0,-5.876076206652215,20.28835768450477,-3.6172985123139796,9.064930941,19.542931104
motion_20260503_212515,3.0,0.0,-6.204545952466447,-20.20864434582044,-3.806655223620943,9.129966363,19.512972636
motion_20260503_212617,-3.0,-3.0,-27.93518554536132,37.61190133893171,-9.58431012685218,9.072973487,19.526974864
motion_20260503_212718,0.0,-3.0,-10.598974455955556,1.5816287337074715,1.9296967729831422,9.081343512,19.523352681
motion_20260503_212922,3.0,-3.0,-24.470361403697268,-18.515002820803915,-4.270534140647108,9.094606144,19.510607552
motion_20260503_213038,-7.0,7.0,5.791025622662232,6.81169826236561,-1.9735278633137483,9.187677449,19.473682602
motion_20260503_213139,0.0,7.0,38.99702678452411,2.342593679661775,10.617619214349133,9.158778504,19.540775792
motion_20260503_213236,7.0,7.0,21.766392453591152,-59.086003507258425,-1.0300192854357633,9.165252421,19.548251067
motion_20260503_213333,-7.0,0.0,2.4417099142485768,42.75068345508829,1.5247955187314446,9.123273096,19.517266832
motion_20260503_213433,7.0,0.0,-14.678446587635733,-45.58669901723292,-9.16036340669838,9.093744787,19.522747126
motion_20260503_213532,-7.0,-7.0,-55.1393919221851,64.85856738192375,-2.804942741347709,9.04594778,19.569943948
motion_20260503_213631,0.0,-7.0,-57.920582787731064,9.24210481998843,-18.73625416169012,9.069145673,19.535145772
motion_20260503_213746,7.0,-7.0,-25.150074480042576,-7.821561764285022,-19.114826278976444,9.045010463,19.543005621
