trial,label_x,label_y,delta_x,delta_y,delta_z,pick_x,pick_y,pick_z,pick_roll,pick_pitch,pick_yaw,place_x,place_y,place_z,place_roll,place_pitch,place_yaw,pick_time,place_time
motion_20260503_205149,-5.0,5.0,46.40840905062407,25.130370047042774,12.370825601353133,286.76299888337564,10.666965093309535,41.57452150656225,1.636410382651317,-0.19805313222853815,1.577823447329767,333.1714079339997,35.79733514035231,53.94534710791538,1.5520868989540124,-0.19904865947389183,1.6138490147677984,9.423322045,19.101322581
motion_20260503_210557,-5.0,5.0,44.52242540267878,27.141837660996053,11.88535130469819,286.6691895689982,11.036095895128605,41.55096409523758,1.6338812029108205,-0.19719815686556008,1.5763530730875799,331.191614971677,38.17793355612466,53.43631539993577,1.5575005996881022,-0.21286836163343326,1.6216218537648845,9.420606229,19.087598914
motion_20260503_210730,0.0,5.0,37.56320204347031,-10.664907616803433,10.385393577870651,294.82458956743346,6.373615727429874,45.4831558477593,1.6271601325027765,-0.16237615038791198,1.5683376893966823,332.3877916109038,-4.291291889373559,55.86854942562995,1.558995488008535,-0.04920764482430995,1.6023003463821344,9.41434158,19.041342392
motion_20260503_210833,5.0,5.0,32.545235831770185,-61.30879417494369,10.201849829546255,297.64633825487715,3.0162054166184467,48.56028110353776,1.5995962289611918,-0.11427866201622172,1.580792754051961,330.19157408664734,-58.292588758325245,58.762130933084016,1.5301433606528019,0.03835760016397316,1.486269762640546,9.415924819,19.031926035
motion_20260503_210940,-5.0,0.0,4.758981115332972,28.849497859188887,-0.6197060040690374,294.8004685609884,12.549507963845137,49.47582432199075,1.618860777079977,-0.19155935560978565,1.5937172295727744,299.5594496763214,41.399005823034024,48.85611831792171,1.643730246137858,-0.2196355026222383,1.58163075992317,9.392799868,19.059799845
motion_20260503_211038,0.0,0.0,-5.437871063335081,1.592809182481334,-0.007511589899586113,295.9325059061146,2.550321539215454,49.756258278167145,1.6233493207643683,-0.1557695999983073,1.5499315103192746,290.49463484277953,4.143130721696788,49.74874668826756,1.6119195957411179,-0.07906403769396864,1.6176808011884043,9.406106788,19.034114066
motion_20260503_211139,5.0,0.0,-8.745517956290598,-48.85532171332206,-3.9832615959622757,293.1681048887195,-3.867895402823755,49.18406171349732,1.6193833714479053,-0.10967055721043595,1.5422078872295155,284.4225869324289,-52.72321711614582,45.200800117535046,1.6389773189898302,0.05847360557009029,1.5957302605163983,9.393627075,19.047631284
motion_20260503_211310,-5.0,-5.0,-47.30350811480076,52.40125708318095,-15.376085826397926,288.2124568768605,11.822514137553345,49.519027668306336,1.6163411273651196,-0.1730710521707568,1.599836807322991,240.9089487620597,64.22377122073429,34.14294184190841,1.7757072951937358,-0.18542008860927184,1.7486338791757645,9.374110543,19.073114462
motion_20260503_211420,0.0,-5.0,-41.552467021627365,9.925748954763844,-10.556905243584652,286.00736916235473,9.823230318997187,50.8554341339981,1.6303644843779619,-0.15111982025995463,1.5824756391442936,244.45490214072737,19.74897927376103,40.29852889041345,1.7213654542996923,-0.11947606085435836,1.706606873051703,9.374611421,19.05861169
motion_20260503_211523,5.0,-5.0,-53.74301581544108,-48.15234317447694,-15.084564080494886,285.9468305605634,-1.2159654334463184,48.335608341396906,1.6331772005585805,-0.08005983777218373,1.5552863493579039,232.20381474512232,-49.36830860792326,33.25104426090202,1.7747140479812338,0.03425874468626722,1.596580583795734,9.398484142,19.078483626
motion_20260503_212035,-3.0,3.0,27.08189205131731,10.109656234883142,0.4899300389450332,292.13167814453124,-0.05012419792429057,43.33687291458375,1.646548729906075,-0.19351049693062206,1.5364582492443273,319.21357019584855,10.059532036958851,43.826802953528784,1.6366736322899489,-0.16018016937029222,1.5552500823694366,9.436420588,19.091416469
motion_20260503_212134,0.0,3.0,19.4149955917336,-9.546441714439869,2.0915469799821054,290.3172981273339,1.5683267693938006,45.1065115186021,1.6408826882554284,-0.1567317695796251,1.545643011716898,309.7322937190675,-7.978114945046068,47.1980584985842,1.6014196759491859,-0.07307063742895603,1.5866149030655508,9.398533602,19.059526844
motion_20260503_212233,3.0,3.0,21.524376993335068,-30.565383287226506,4.957285471649669,291.39708415417886,6.268619334598352,46.84917783034625,1.6199368613769547,-0.13454710677286963,1.5752657864261694,312.9214611475139,-24.296763952628154,51.80646330199592,1.5655236810639985,0.004392195674795207,1.6103499676793682,9.419794318,19.045800209
motion_20260503_212330,-3.0,0.0,-2.833070959540464,16.038764856097877,-2.6768820164415246,298.1204600174129,4.925707089208384,46.104774590846276,1.6398528120176068,-0.19398090389953637,1.5391682763496246,295.2873890578724,20.96447194530626,43.42789257440475,1.659494497277189,-0.1415249093099844,1.5968427067110083,9.358932715,19.098932128
motion_20260503_212515,3.0,0.0,0.6305445790316639,-25.692555793671538,-3.8912594572283012,290.97779430101735,4.101484292451539,56.205071308066906,1.5879243194879562,-0.11916185710018978,1.5782469711042184,291.608338880049,-21.59107150122,52.313811850838604,1.5912092772386297,0.01425978533957939,1.6267344639840442,9.417971527,19.034980557
motion_20260503_212617,-3.0,-3.0,-18.75415809988624,33.48627468554903,-4.867497226557916,293.1822291931925,5.679318309928219,49.42643137531209,1.6204106341748596,-0.16343214174861642,1.5586026686883778,274.42807109330624,39.16559299547725,44.558934148754176,1.6743349250261839,-0.14189519962649144,1.6961967018907484,9.368974104,19.044976089
motion_20260503_212718,0.0,-3.0,-5.236925700244683,-0.7478489485416429,5.0698386541124165,292.1178188658927,6.6276264355706065,51.78577863551129,1.6262716925404006,-0.1437648765018129,1.5806309449879472,286.880893165648,5.879777487028964,56.85561728962371,1.604794980719441,-0.07174170177271288,1.6429342705410035,9.376345026,19.0503501
motion_20260503_212922,3.0,-3.0,-16.529637310405917,-22.76920185031019,-0.1967004673017385,284.9977678501621,4.939901469170181,53.680736960267296,1.6281083283515834,-0.11471683935673149,1.5787048476808114,268.4681305397562,-17.82930038114001,53.48403649296556,1.6453264617595378,0.00710684057598443,1.6224696338670108,9.397608238,19.037609798
motion_20260503_213038,-7.0,7.0,14.266669145712626,5.498826352409431,-0.2974094484914751,253.41676573186163,58.784426101810034,31.70902597359732,1.7167156767626714,-0.17842431010129545,1.73474010862168,267.68343487757426,64.28325245421946,31.411616525105845,1.711203687301567,-0.13767373733050703,1.7781249062962896,9.486682359,19.002684638
motion_20260503_213139,0.0,7.0,50.932069208161806,0.2595398245057048,14.977452182941668,289.79543562682943,12.499510151265337,43.112477342252596,1.6372889166960363,-0.15464143425029686,1.6002720341410979,340.72750483499124,12.759049975771042,58.089929525194265,1.5186430875228534,-0.04200744390338129,1.6784887338200294,9.60377825,19.073775659
